Degree;Frequency
1;5045
2;4620
3;3670
4;2837
5;2476
6;1990
7;1711
8;1375
9;1267
10;1070
11;912
12;804
13;715
14;590
15;560
16;536
17;479
18;407
19;394
20;330
21;317
22;296
23;257
24;241
25;218
26;246
27;203
28;177
29;156
30;142
31;156
32;160
33;134
34;121
35;103
36;91
37;111
38;85
39;85
40;96
41;79
42;71
43;78
44;94
45;61
46;74
47;57
48;57
49;56
50;46
51;49
52;41
53;48
54;35
55;41
56;45
57;39
58;41
59;45
60;38
61;35
62;30
63;34
64;23
65;28
66;36
67;21
68;24
69;23
70;34
71;26
72;18
73;20
74;25
75;26
76;17
77;21
78;17
79;27
80;12
81;21
82;19
83;13
84;12
85;16
86;15
87;16
88;19
89;16
90;15
91;14
92;14
93;9
94;20
95;8
96;12
97;12
98;10
99;10
100;13
101;10
102;10
103;10
104;17
105;7
106;8
107;8
108;6
109;6
110;8
111;6
112;4
113;10
114;3
115;11
116;11
117;8
118;6
119;7
120;5
121;6
122;7
123;4
124;6
125;4
126;8
127;8
128;5
129;6
130;6
131;2
132;11
133;6
134;9
135;3
136;8
137;2
138;2
139;3
140;3
141;1
142;6
143;3
144;7
145;3
146;4
147;5
148;7
149;1
150;2
151;8
152;3
153;4
154;5
155;5
157;2
158;2
159;1
160;4
162;2
163;4
164;3
165;3
166;1
167;4
168;4
170;2
171;2
172;2
174;3
176;4
177;2
178;5
179;5
181;2
182;3
183;1
184;1
186;4
187;3
188;2
189;2
191;1
193;4
194;2
196;1
197;3
199;1
200;1
201;2
202;2
203;3
204;2
205;1
206;1
207;2
208;1
209;4
210;1
211;2
212;1
213;1
215;3
218;2
220;2
223;1
225;3
226;1
228;1
230;1
232;1
233;3
234;1
235;1
236;2
237;1
238;1
239;2
241;2
243;1
245;1
248;1
249;2
251;1
253;2
255;2
257;1
258;3
259;1
262;2
265;3
266;3
267;2
275;1
277;1
280;1
282;2
284;1
286;1
288;2
290;2
292;1
294;2
295;1
296;1
297;2
299;2
302;1
303;2
304;3
305;1
307;1
308;1
309;2
312;1
313;1
315;1
317;1
318;1
319;1
320;2
323;1
324;1
325;1
327;1
328;1
331;1
336;1
340;2
345;1
347;1
349;1
350;1
351;1
352;1
356;1
359;1
364;1
365;1
367;1
372;2
378;2
385;1
388;1
389;1
392;1
398;1
400;1
403;1
405;1
412;1
413;1
423;1
431;1
441;1
456;1
467;1
469;1
477;1
478;1
489;3
493;1
501;1
510;1
518;1
519;1
523;1
526;1
529;1
534;1
544;1
554;1
558;1
571;1
572;1
576;1
577;1
584;1
589;1
604;1
607;1
613;1
618;1
635;1
665;1
667;1
684;1
689;1
729;1
738;1
748;1
769;1
780;1
785;1
905;1
928;1
933;1
942;1
967;1
982;1
989;1
1016;1
1055;1
1240;1
1264;1
1267;1
1316;1
1347;1
1368;1
1404;1
1485;1
1507;1
1568;1
1571;1
1797;1
1924;1
2343;1
2468;1
2958;1
3324;1
7085;1
9458;1
