Degree;Frequency
1;109
2;89
3;96
4;168
5;99
6;95
7;123
8;79
9;66
10;98
11;69
12;55
13;61
14;40
15;17
16;40
17;24
18;131
19;17
20;35
21;5
22;7
23;34
24;27
25;54
26;3
27;7
28;27
29;36
30;23
31;31
32;8
33;60
34;4
35;5
37;6
38;12
39;4
40;9
41;20
42;2
43;4
44;6
45;1
46;6
47;2
48;8
49;3
50;5
51;18
52;18
53;5
54;3
55;2
56;10
57;13
59;2
60;6
61;8
62;5
63;6
64;2
65;5
66;4
67;4
68;5
69;2
70;2
71;12
72;10
73;3
74;6
75;3
76;4
77;2
78;8
79;3
80;5
81;3
83;1
84;1
86;1
87;2
89;1
91;1
92;2
93;1
94;1
95;1
96;2
97;4
99;1
100;2
102;1
104;5
105;13
106;5
107;2
108;5
109;2
110;2
111;3
112;2
114;1
116;5
117;1
118;4
119;1
120;1
121;1
124;1
125;1
126;1
127;1
128;2
129;1
130;1
131;3
133;3
134;2
135;1
136;1
137;2
138;1
139;2
140;3
141;1
142;3
143;2
144;1
145;3
146;3
147;2
148;2
149;2
152;1
153;2
154;5
155;2
156;2
157;2
159;1
168;1
169;1
174;1
175;1
181;2
187;3
195;1
200;1
207;1
210;1
211;1
213;2
214;1
220;1
233;1
237;2
255;1
260;1
269;1
272;2
308;1
322;1
402;1
531;1
653;1
677;1
732;1
